winning_number,5,8
winning_number,13,11
winning_number,16,15
winning_number,27,11
bonus_ball,15,2
winning_number,14,14
winning_number,23,13
winning_number,25,10
winning_number,26,7
bonus_ball,17,5
winning_number,12,14
winning_number,17,11
winning_number,22,8
bonus_ball,25,8
winning_number,11,9
winning_number,31,18
winning_number,34,9
bonus_ball,24,8
winning_number,10,26
winning_number,20,8
bonus_ball,8,5
winning_number,4,13
winning_number,8,16
winning_number,7,11
winning_number,18,16
bonus_ball,3,5
bonus_ball,10,4
winning_number,6,18
winning_number,9,11
bonus_ball,16,4
winning_number,19,8
winning_number,24,14
bonus_ball,13,1
winning_number,29,13
winning_number,32,14
bonus_ball,19,3
bonus_ball,32,5
bonus_ball,34,4
bonus_ball,30,2
winning_number,35,11
bonus_ball,7,3
winning_number,1,12
bonus_ball,27,4
winning_number,21,8
bonus_ball,6,5
bonus_ball,23,2
bonus_ball,33,4
bonus_ball,18,4
winning_number,28,10
bonus_ball,9,5
winning_number,30,8
winning_number,33,9
winning_number,2,13
bonus_ball,35,2
winning_number,3,5
bonus_ball,22,2
bonus_ball,2,1
winning_number,15,6
bonus_ball,4,4
bonus_ball,28,2
bonus_ball,31,2
bonus_ball,29,1
bonus_ball,12,3
bonus_ball,5,1
bonus_ball,21,1
